Company Name,URL
Jubilee Academies,https://www.jubileeacademies.org
Kaiser Aluminum,https://www.kaiseraluminum.com
Karman Space & Defense,https://www.karmansd.com
Kendrick Plastics,https://www.kendrickplastics.com
Keter,https://www.keter.com
Koozie Group,https://www.kooziegroup.com
Kustom US,https://www.kustomus.com
"Lavelle Industries, Inc.",https://www.lavelle.com
Lawrence Livermore National Laboratory,https://www.llnl.gov
Leggett & Platt Automotive,https://www.leggett.com/automotive
"Legrand, North America",https://www.legrand.us
Leidos,https://www.leidos.com
Little Tikes,https://www.littletikes.com
Lockheed Martin,https://www.lockheedmartin.com
Lucid Motors,https://www.lucidmotors.com
Lutron Electronics,https://www.lutron.com
M.R. Mold and Engineering,https://www.mrmold.com
MGS Mfg. Group,https://www.mgs.com
MSI Mold Builders,https://www.msimoldbuilders.com
MacLean-Fogg Company,https://www.macleanfogg.com
Madison-Kipp Corporation,https://madison-kipp.com
Maplewood Senior Living,https://www.maplewoodseniorliving.com
Marmon Utility,https://www.marmonutility.com
Masimo,https://www.masimo.com
Mauser Packaging Solutions,https://www.mauserpackaging.com
"Medbio, LLC",https://medbioinc.com
Medical Murray,https://www.medicalmurray.com
"Metalex Manufacturing, Inc.",https://metalexmfg.com
"Methods Machine Tools, Inc.",https://www.methodsmachine.com
MiTek,https://www.mii.com
"Minth North America, Inc.",https://www.minthgroup.com
Moeller Aerospace,https://moelleraerospace.com
Molex,https://www.molex.com
Monoflo International,https://www.miworldwide.com
Motion,https://www.motion.com
"Museum of Fine Arts, Houston",https://www.mfah.org
NSI Industries,https://www.nsiindustries.com
NTN Bearing Corporation,https://www.ntnamericas.com
Nashville Wire Products,https://www.nashvillewire.com
Niagara Bottling,https://www.niagarawater.com
Nissan Motor Corporation,https://www.nissanusa.com
Nordson Corporation,https://www.nordson.com
Novares Group,https://www.novaresteam.com
Nudura Insulated Concrete Forms,https://www.nudura.com
Nylabone,https://www.nylabone.com
O-I,https://www.o-i.com
ORBIS Corporation,https://www.orbiscorporation.com
"Omnipure Filter Company, Inc.",https://www.omnipure.com
Oregon Tool,https://www.oregontool.com
"PRISM Plastics, Inc.",https://prismplastics.com
PTE Precision Machining,https://ptemachining.com
Pacific Coast Building Products,https://www.pcbp.com
Parker Hannifin,https://www.parker.com
"Parker Plastics, Inc.",https://www.parkerplastics.com
"Patriot Machine, Inc.",https://www.patriot-machine.com
"Penn United Technologies, Inc.",https://www.pennunited.com
"Phoenix Defense, LLC.",https://www.phoenixdefense.com
Plasticade,https://www.plasticade.com
Port Erie Plastics,https://www.porterie.com
"Precision Resource, Inc.",https://www.precisionresource.com
Pretium Packaging,https://www.pretiumpkg.com
Primetals Technologies,https://www.primetals.com
ProMed Molded Products,https://promedmolding.com
PuroClean,https://www.puroclean.com
Pursuit Aerospace,https://pursuitaerospace.com
"RAM Partners, LLC",https://www.rampartnersllc.com
Radius Packaging,https://www.radiuspkg.com
Re:Build Manufacturing,https://www.rebuildmg.com
Rivian,https://rivian.com
Rosti Group,https://rosti.com
Röchling Automotive,https://www.roechling-automotive.com
Röchling Industrial,https://industrial.roechling.com
SANMINA-SCI TECHNOLOGY INDIA PRIVATE LIMITED,https://www.sanmina.com
SCHERDEL North America,https://www.scherdel.com
SHL Medical,https://www.shl-medical.com
SMC Ltd,https://www.smcltd.com
Sabert Corporation,https://www.sabert.com
Safariland,https://www.safariland.com
Samsung SDS,https://www.samsungsds.com
Sanmina,https://www.sanmina.com
Schoeller Allibert North America,https://www.schoellerallibert.com
Sealed Air Corporation,https://www.sealedair.com
ServiceMaster Restore®,https://www.servicemasterrestore.com
Siemens,https://www.siemens.com
Sika,https://usa.sika.com
"Simpson Manufacturing Company, Inc.",https://www.strongtie.com
Sodecia,https://www.sodecia.com
"Sonos, Inc.",https://www.sonos.com
SpaceX,https://www.spacex.com
"Spectrum Plastics Group, A DuPont Business",https://www.spectrumplastics.com
"Stanley Black & Decker, Inc.",https://www.stanleyblackanddecker.com
Stellantis,https://www.stellantis.com
SyBridge Technologies,https://www.sybridgetech.com
Syntec Optics,https://syntecoptics.com
"Targeted Pet Treats, LLC",https://www.targetedpettreats.com
Techniplas,https://www.techniplas.com
Tesla,https://www.tesla.com
The Lubrizol Corporation,https://www.lubrizol.com
The Vollrath Company,https://www.vollrathcompany.com
Tiffany & Co.,https://www.tiffany.com
"Tilray Brands, Inc.",https://www.tilray.com
"Toledo Molding & Dye, Inc",https://tmdinc.com
"Tools, Inc.",https://www.toolsinc.com
Topre America Corporation,https://topre-america.com
Toyota Tsusho America,https://www.toyota-tsusho.com
"Tramec, LLC",https://tramec.com
Trelleborg Group,https://www.trelleborg.com
Trexon,https://www.trexon.com
Tri-Mack Plastics Manufacturing,https://www.trimack.com
US Conec,https://www.usconec.com
US Farathane,https://www.usfarathane.com
Unilever,https://www.unilever.com
VistaTek (Vista Technologies),https://www.vistatek.com
Waupaca Foundry,https://waupacafoundry.com
Weiss-Aug,https://www.weiss-aug.com
West Pharmaceutical Services,https://www.westpharma.com
Whelen Engineering,https://www.whelen.com
Wilson Tool International,https://www.wilsontool.com
Yanfeng,https://www.yanfeng.com
Zoetis,https://www.zoetis.com
nVent,https://www.nvent.com
wedi Corp,https://www.wedi.net
A & C Mold,https://www.acmold.com
"ARC Group Worldwide, Inc.",https://arcgroupworldwide.com
ARCH,https://www.archgp.com
Actalent,https://www.actalentservices.com
"Advanced Powder Products, Inc.",https://www.appinter.net
Advanced Tooling Systems,https://www.advancedtoolingsystems.com
"Aerospace Welding and Manufacturing, Inc. (AWI/AMI)",https://awi-ami.com
Alleguard,https://www.alleguard.com
Aluma-Form,https://www.alumaform.com
AmeriBolt,https://www.ameribolt.com
Ardagh Metal Packaging,https://www.ardaghmetalpackaging.com
"ArtiFlex Manufacturing, Inc",https://www.artiflexmfg.com
Aster Brands,https://asterbrands.com
BD Nogales Norte,https://www.bd.com
Barron Industries,https://www.barron-industries.com
Blasch Precision Ceramics,https://www.blaschceramics.com
Bosch Home Comfort USA,https://www.bosch-homecomfort.com
Bosch USA,https://www.bosch.us
"Bronson & Bratton, Inc.",https://www.bronsonandbratton.com
CIE USA - Century Plastics LLC,https://www.cieautomotive.com
CKS Packaging Inc,https://www.ckspackaging.com
CMC,https://www.cmc.com
CMI (Central Moloney),https://www.centralmoloneyinc.com
"Canon Virginia, Inc",https://www.usa.canon.com
Carfair Composites,https://carfair-composites.com
CelLink Corporation,https://www.cellink.com
"Check-Mate Industries, Inc.",https://checkmateindustries.com
"Commercial Tool Group: Commercial Tool & Die, Inc., CG Automation & Fixture, Inc., CG Plastics, Inc.",https://www.commercialtoolgroup.com
CoreDux,https://www.coredux.com
Creative Liquid Coatings,https://www.creativeliquidcoatings.com
Cretex Medical Component and Device Technologies,https://www.cretexmedical.com
Datwyler Sealing,https://www.datwyler.com
Deringer-Ney Inc.,https://www.deringerney.com
Design Styles Architecture,https://www.designstylesarchitecture.com
Digital Tool & Die Inc.,https://www.digitaltool.com
Dura Mold Inc.,https://www.duramoldinc.com
Excel Hotel Group,https://www.excelhotelgroup.com
Freeform,https://www.freeform.com
GRAMMER Americas,https://www.grammer.com
Galaxy Technologies,https://www.galaxytool.com
General Devices Co. Inc.,https://www.generaldevices.com
HAGO AUTOMOTIVE CORP,https://www.hago-automotive.com
Harken Inc.,https://www.harken.com
Hart Precision Machining LLC,https://www.hartprecision.com
"Horton, Inc.",https://www.hortonww.com
"Industrial Technologies Group, an affiliate of The Heico Companies",https://www.heicocompanies.com
JVIS USA,https://www.jvis.us
James Tool Machine & Engineering,https://www.jamestool.com
KMM Group,https://kmmgrp.com
Kapco Metal Stamping,https://www.kapcoinc.com
Keytronic,https://www.keytronic.com
LHH,https://www.lhh.com
Le Sueur Incorporated,https://www.lsi-precision.com
"MEC (Mayville Engineering Company, Inc.)",https://www.mecinc.com
Manor Tool & Manufacturing,https://www.manortool.com
Marketing Alliance Group,https://www.themagllc.com
Marvin Composites,https://www.marvincomposites.com
"Matrix Plastic Products, LLC",https://www.matrixplastic.com
Meritec,https://www.meritec.com
Metalcraft Precision Machining,https://www.metalcraftprecision.com
"Metalcraft of Mayville, Inc.",https://www.mtlcraft.com
"Meyer Tool, Inc.",https://www.meyertool.com
"Minco Tool and Mold, Inc.",https://www.mincogroup.com/minco-tool-and-mold/
Mississippi Department of Employment Security,https://mdes.ms.gov
"Modern Industries, Inc.",https://www.modind.com
Molded Dimensions Group,https://www.moldeddimensions.com
NEMERA,https://www.nemera.net
NPX ONE,https://www.npxone.com
Nutcracker Therapeutics,https://nutcracker.com
"OTTO Engineering, Inc.",https://ottoexcellence.com
Ormco,https://www.ormco.com
Pacer Group,https://www.pacergroup.net
Paul Davis Canada,https://pauldavis.com
Physics World,https://physicsworld.com
Pioneer Motor Bearing Co.,https://www.pioneermotorbearing.com
"PlanIT Group, LLC",https://www.planitgroup.com
"Precision Medical Technologies, Incorporated",https://pmedtech.com
Rainbow Restoration,https://rainbowrestores.com
Redline Plastics,https://redlineplastics.com
Rieke,https://www.rieke.com
Roechling Industrial (Singapore) Pte Ltd,https://www.roechling.com/industrial
Scalian,https://www.scalian.com
Seats Inc.,https://www.seatsinc.com
Snowline Engineering,https://www.snowlineengineering.com
St. Charles Stamping and Tooling,https://www.stcharlesstamping.com
Steel Craft Technologies,https://www.steelcrafttech.com
The Manufacturers' Association,https://mascpa.org
Universal Metal Products,https://universalmetalproducts.com
Vantedge Medical,https://vantedgemedical.com
Vicor,https://www.vicorpower.com
WB Industries MBE/DBE,https://www.wb-industries.com
Wisconsin Stamping and Manufacturing,https://www.wisconsinstamping.com
